drug_name,boxed_warning,contraindications_len,indications_len,manufacturer
ezetimibe and simvastatin,0,140,281,"Actavis Pharma, Inc."
ammonium phosphoricum,0,0,0,"Hahnemann Laboratories, INC."
,0,0,13,Unknown
"acetaminophen, diphenhydramine hydrochloride, and phenylephrine hydrochloride",0,0,34,RB Health (US) LLC
,0,0,32,Unknown
,0,0,13,Unknown
"dextromethorphan hbr, guaifenesin, phenylephrine hcl",0,0,62,"Good Sense (Geiss, Destin & Dunn, Inc.)"
,0,0,8,Unknown
pyrithione zinc,0,0,11,"Wal-Mart Stores, Inc."
,1,161,566,Unknown
pramipexole dihydrochloride,0,5,34,Dr. Reddy's Laboratories Limited
,0,0,12,Unknown
,0,0,31,Unknown
polyethylene glycol 3350,0,0,17,CVS Pharmacy
ibuprofen,0,0,35,American Sales Company
,1,75,117,Unknown
,0,52,210,Unknown
leflunomide,1,137,39,"Chartwell RX, LLC"
lubiprostone,0,34,223,Dr. Reddy's Laboratories Inc.
silicea belladonna special order,0,0,5,Uriel Pharmacy Inc.
,1,88,116,Unknown
,0,0,58,Unknown
,1,248,319,Unknown
verapamil hydrochloride,0,81,420,Bryant Ranch Prepack
,0,0,24,Unknown
menthol,0,0,43,"Cosmuses Cosmetics (Ningbo) Co., Ltd."
,0,10,365,Unknown
ampicillin sodium and sulbactam sodium,0,62,363,Meitheal Pharmaceuticals Inc.
,0,18,58,Unknown
benzocaine,0,0,21,"Mycone Dental Supply Co., Inc DBA Keystone Industries and Deepak Products Inc"
,0,0,26,Unknown
,0,0,0,Unknown
,0,0,13,Unknown
,0,0,4,Unknown
,0,55,460,Unknown
ziprasidone,1,238,334,NorthStar Rx LLC
,0,19,28,Unknown
,0,0,15,Unknown
,0,33,114,Unknown
lidocaine,0,26,46,Direct_Rx
glipizide,0,31,26,Bryant Ranch Prepack
"ps-2261 triple antibiotic, 0.5g",0,0,13,ProStat First Aid LLC
,0,0,24,Unknown
isopropyl alcohol,0,0,16,AmerisourceBergen (Good Neighbor Pharmacy) 46122
,0,0,17,Unknown
"white petrolatum, zinc oxide",0,0,17,"Medline Industries, LP"
,1,82,818,Unknown
monofluorophosphate,0,0,8,Target
,0,0,30,Unknown
bacitracin,0,0,15,A-S Medication Solutions
,0,0,26,Unknown
